Account Name,City,Address,County State,Zip Code,Min of Latitude,Min of Longitude
#10 RELOGISTICS/CVS,SOMERSET,322 REVCO ROAD,Somerset PA,15501,40.02747504,-79.08213363
1001 PROPERTIES INC,INDIANAPOLIS,4530 N KEYSTONE AVE,Marion IN,46205,39.83952838,-86.12201988
101 MOBILITY,INDIANAPOLIS,8501 BASH STREET,Marion IN,46250,39.910311,-86.047594
1837 AG LLC,ELLETTSVILLE,6726 N RED HILL ROAD,Monroe IN,47429,39.250813,-86.636238
1ST CLASS FUND RAISERS,FRANKFORT,2072 STATE RD 39,Clinton IN,46041,,
2M RESOURCES,HOPEDALE,141 MENDON STREET,Worcester MA,1747,42.1250086,-71.5387158
307 CORPORATION,LAFAYETTE,4464 VETERANS MEMORIAL PKWY S,Tippecanoe IN,47905,,
307 CORPORATION,LAFAYETTE,4646 E COUNTY RD 350 SOU,Tippecanoe IN,47905,,
3C LLC,INDIANAPOLIS,7601 E 88TH PLACE,Marion IN,46256,39.91671906,-86.03424802
4 DAUGHTERS FARMS LLC,WALDRON,9366 W 900S,Shelby IN,46182,,
48FORTY SOLUTIONS,INDIANAPOLIS,606 W TROY AVENUE,Marion IN,46225,39.72243743,-86.16847259
4K/FDS LLC,LAFAYETTE,3430 MAPLE POINT DRIVE,Tippecanoe IN,47905,40.387215,-86.854623
4WARD MEDI,INDIANAPOLIS,5845 W 82ND STREET,Marion IN,46278,39.9009766,-86.26419658
5 BELOW BLDG,INDIANAPOLIS,12050 E MCGREGOR RD,Marion IN,46241,39.659876,-85.950231
84 LUMBER,INDIANAPOLIS,9084 CORPORATION DRIVE,Marion IN,46256,39.91907663,-86.03612126
84 LUMBER STORE NO. 0709,GREENWOOD,484 EAST WORTHSVILLE ROAD,Johnson IN,46143,39.58661753,-86.09645706
84 LUMBER STORE NO. 0720,DANVILLE,352 S CR 300E,Hendricks IN,46122,,
84 LUMBER STORE NO. 0783,FRANKLIN,1850 N GRAHAM RD,Johnson IN,46131,39.504412,-86.056126
84 LUMBER STORE NO. 0783,INDIANAPOLIS,6585 EAST 30TH STREET,Marion IN,46219,39.8065029,-86.05398045
8TH DAY DISTILLERY,INDIANAPOLIS,1125 BROOKSIDE AVENUE,Marion IN,46202,39.7821586,-86.1370528
A & A TRANSMISSION,CAMBY,5061 E NORTH COUNTY LINE ROAD,Morgan IN,46113,,
A & N LOGISTICS,INDIANAPOLIS,5801 W 82ND STREET,Marion IN,46278,39.9014319,-86.26308069
A & R ERECTORS,INDIANAPOLIS,1605 COUNTRY CLUB ROAD,Marion IN,46234,39.786691,-86.307463
A & T MECHANICAL LLC,PITTSBORO,608 W MAIN STREET,Hendricks IN,46167,39.87875945,-86.53654136
A A A HEATING,INDIANAPOLIS,10507 PENDELTON PIKE,Marion IN,46236,,
A B CASTING & PAINTING,ANDERSON,505 EAST 31ST ST,Madison IN,46016,40.08513312,-85.67269386
A CLASSIC PARTY RENTAL,INDIANAPOLIS,8020 ZIONSVILLE ROAD,Marion IN,46268,39.89926915,-86.26074007
A FIRE'S PLACE,LAFAYETTE,435 FARABEE DR S,Tippecanoe IN,47905,40.41301932,-86.85189443
A H FURNICO INC,INDIANAPOLIS,1720 WALES AVE,Marion IN,46218,39.78966991,-86.09880436
A SIGN BY DESIGN INC,LEBANON,501 W NOBLE STREET,Boone IN,46052,40.039148,-86.47272
A&K FAMILY FARMS,COLUMBUS,6585 E 50N,Bartholomew IN,47203,,
A1 MACHINERY,ST-MATHIEU-DE-BELOEIL,3225 CH. DE L'INDUSTRIES,,J3G0J,45.591606,-73.265364
AALBERTS HYDRONIC FLOW CONTROL,FISHERS,9982 E 121ST ST,Hamilton IN,46037,39.96448809,-85.99017287
AAR CORPORATION,INDIANAPOLIS,2745 S HOFFMAN RD,Marion IN,46241,39.73027491,-86.30451318
AAR CORPORATION,INDIANAPOLIS,2825 W PERIMETER RD,Marion IN,46241,39.72177973,-86.32355767
AARON BREWER,MEMPHIS,22741 CR 358,Scotland MO,63555,,
AAS CARRIER INC,FRANKLIN,809 OVERSTREET STREET,Johnson IN,46131,39.48835492,-86.04555001
AASC,FLORA,2729 E STATE RD 18,,46269,,
ABBOTTS PRECISION COLLISON,LAFAYETTE,388 FARABEE DR,Tippecanoe IN,47905,40.41348842,-86.85213128
ABC METALS INC,INDIANAPOLIS,3131 N FRANKLIN RD,Marion IN,46226,39.81385966,-86.02666952
ABC SUPPLY,EVANSVILLE,2506 HIGHWAY 41N,Vanderburgh IN,47711,38.001184,-87.539282
ABC SUPPLY,INDIANAPOLIS,2900 N SHADELAND AVE,Marion IN,46219,39.8084981,-86.048409
ABC SUPPLY,TERRE HAUTE,2119 SOUTH 3RD STREET,Vigo IN,47802,39.44386982,-87.41359617
ABC SUPPLY CO,MUNCIE,4501 S COWAN,Delaware IN,47302,40.152182,-85.405617
ABC SUPPLY CO INC #642,LAFAYETTE,3400 CONCORD RD,Tippecanoe IN,47909,40.375463,-86.858353
