Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0006756,BP0000302,P,D3,P,D3,1-Territory,,,LUIS FRESH MARKET,CARNECERIA GUANAJUATO,8170 E 21ST STREET,"",46219,Marion IN,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$533,$0,,,
AD0008479,BP0000705,D3,D3,D3,D2,1-Territory,,,GEORGE E BOOTH CO INC,GEORGE E BOOTH CO INC,8180 COUNTRY CLUB PLACE,"",46214,Marion IN,,$0,$0,$0,$1121,$1121,$0,$0,$1121,$0,$0,$1121,,,
AD0007029,BP0003779,D3,D3,D3,D3,7-Territory,,,UPS,TRUE SOURCE LLC,5380 W 81 ST,"",46268,Marion IN,,$0,$0,$0,$1110,$1110,$0,$0,$1110,$0,$1559,$1110,,,
AD0007351,BP0001113,P,P,D3,D2,1-Territory,,,SCI CORP INC,SCI CORP INC,2925 HOFFMAN ROAD,"",46241,Marion IN,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$370,$0,,,
AD0003040,BP0002945,P,P,P,P,7-Territory,,,LIEBL AG LLC,LIEBL AG LLC,304 5TH STREET WEST,ADA,56510,Norman MN,,$0,$21726,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,
AD0007267,BP0004421,D3,D3,P,P,7-Territory,,,ASSOCIATED MATERIAL HANDLING INDUST,ASSOCIATED MATERIAL HANDLING INDUST,133 NORTH SWIFT ROAD,ADDISON,60101,DuPage IL,,$0,$0,$60,$0,$60,$0,$0,$60,$0,$0,$60,,,
AD0007073,BP0004329,P,P,P,P,7-Territory,,,CRYSTAL FARMS LLC,CRYSTAL FARMS LLC,1800 N CLEVELAND-MASSILON ROAD,AKRON,44333,Summit OH,,$0,$19891,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,
AD0008335,BP0001240,D3,D3,P,P,2-Territory,,,ROY PADGETT,HDRK,1125 W Walnut St,ALBANY,47320,Delaware IN,,$0,$0,$233,$0,$233,$0,$0,$233,$0,$0,$233,,,
AD0006786,BP0004174,P,P,P,D3,2-Territory,,,MIKE ANDERSON ENTERPRISES,MIKE ANDERSON ENTERPRISES,11801 N BLACK CEMETERY ROAD,ALBANY,47320,Delaware IN,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1338,$0,,,
AD0004104,BP0002193,A2,A1,A1,A1,4-Territory,,,KNAUF INSULATION,KNAUF INSULATION,1000 E NORTH ST,ALBION,49224,Calhoun MI,,$351501,$0,$0,$157037,$157037,$120227,$0,$277263,$151314,$21261,$125950,,,
AD0004106,BP0002193,P,A1,A1,A1,4-Territory,,,KNAUF INSULATION,KNAUF INSULATION,809 NORTH CLARK ST,ALBION,49224,Calhoun MI,,$8849,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,
AD0004526,BP0000353,D3,A1,A1,A1,1-Territory,,,HERITAGE CRYSTAL CLEAN,HERITAGE CRYSTAL CLEAN,3738-A HAWKINS NE,ALBUQUERQUE,87109,Bernalillo NM,,$0,$0,$0,$0,$0,$6608,$0,$6608,$1377,$0,$5232,,,
AD0004879,BP0000756,D3,D3,P,P,2-Territory,,,SPRING HOUSE INC,SPRING HOUSE INC,1703 S PARK AVE,ALEXANDRIA,46001,Madison IN,,$0,$0,$0,$344,$344,$0,$0,$344,$0,$0,$344,,,
AD0008551,BP0001834,D3,D3,P,P,7-Territory,,,WABASH VALLEY SERVICE CO,WABASH VALLEY SERVICE CO,21546 HIGHWAY 1,ALLENDALE,62410,Wabash IL,,$0,$0,$887,$0,$887,$0,$0,$887,$0,$0,$887,,,
AD0006296,BP0003906,D2,D2,P,P,7-Territory,,,INDUSTRIAL LIQUIDATORS,INDUSTRIAL LIQUIDATORS,1324 UNION HILL RD,ALPHARETTA,30004,Fulton GA,,$16000,$455300,$195,$0,$195,$0,$0,$195,$0,$0,$195,,,
AD0004683,BP0000495,A1,A1,A1,A1,7-Territory,,,NESTLE USA **FACTORY**,NESTLE USA #105,4301 W 73rd ST,ANDERSON,46011,Madison IN,,$15188,$0,$11341,$247771,$259112,$18200,$0,$277312,$279540,$160141,($2229),,,
AD0004682,BP0000495,A2,A1,A1,A1,7-Territory,,,NESTLE USA **DC**,NESTLE USA #105,4301 W 73rd ST,ANDERSON,46011,Madison IN,,$0,$0,$10217,$201101,$211318,$16770,$0,$228088,$449746,$190031,($221658),,,
AD0003879,BP0000495,P,A1,A1,A1,7-Territory,,,NESTLE USA ANDERSON,NESTLE USA #105,4301 W 73rd ST,ANDERSON,46011,Madison IN,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$194,$0,,,
AD0004683,BP0002261,A1,C1,C1,C1,7-Territory,,,NESTLE USA **FACTORY**,MH EQUIPMENT,4301 W 73rd ST,ANDERSON,46011,Madison IN,,$15188,$0,$11341,$247771,$259112,$18200,$0,$277312,$279540,$160141,($2229),,,
AD0004682,BP0002261,A2,C1,C1,C1,7-Territory,,,NESTLE USA **DC**,MH EQUIPMENT,4301 W 73rd ST,ANDERSON,46011,Madison IN,,$0,$0,$10217,$201101,$211318,$16770,$0,$228088,$449746,$190031,($221658),,,
AD0008224,BP0002261,D3,C1,C1,C1,7-Territory,,,BEST WELD,MH EQUIPMENT,1315 W 18TH STREET,ANDERSON,46016,Madison IN,,$0,$0,$0,$163,$163,$0,$0,$163,$0,$0,$163,,,
