Account Name,City,Address,County State,Zip Code,R12 Segment,R36 New Unit Revenue,R12 Service Revenue,R12 Rental Revenue,R12 Aftermarket Revenue,Min of Latitude,Min of Longitude
HONDA OF AMERICA - IAP,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$5872528,$1586982,$73493,$1790522,39.36873925,-85.54191952
KNAUF INSULATION - PLANT 1,SHELBYVILLE,400 WALKER ST,Shelby IN,46176,A1,$4862120,$2152109,$1912525,$2505923,39.52762900,-85.76828600
KNAUF INSULATION - PLANT 2,LANETT,3502 43RD ST SW,Chambers AL,36863,A1,$2851498,$38199,$333608,$2136063,,
PROGRESSIVE LOGISTICS,GREENFIELD,4268 W 300 NORTH,Hancock IN,46140,A1,$2838851,$185714,$320870,$330365,39.82823300,-85.88328800
ELANCO,CLINTON,10500 SOUTH ST RD 63,Vermillion IN,47842,C3,$2517656,$30217,$0,$50431,,
KNAUF INSULATION,SHELBYVILLE,1 KNAUF DR,Shelby IN,46176,A1,$2047102,($4926),$0,$2233142,39.53338900,-85.77543100
BECK'S SUPERIOR HYBRIDS,ATLANTA,6767 E 276th ST,Hamilton IN,46031,B1,$1920425,$5166,$57168,$82383,40.18954200,-86.04952700
KNAUF INSULATION,MCGREGOR,3000 JUDITH ROAD,McLennan TX,76657,A1,$1791765,$0,$0,$2132139,,
AMPACET CORPORATION,TERRE HAUTE,3701 N FRUITRIDGE AVE,Vigo IN,47804,B1,$1478731,$26439,$60434,$112234,39.51107012,-87.36038712
VENTURE LOGISTICS,LAFAYETTE,1450 NAVCO DR,Tippecanoe IN,47905,A2,$1350765,$75262,$94701,$423278,40.40434285,-86.85353998
SUPREME A WABASH CO,JONESTOWN,411 JONESTOWN RD,Lebanon PA,17038,C2,$1286103,($7176),$22247,$35182,40.41246316,-76.48963333
STEEL DYNAMICS INC,BUTLER,4500 COUNTY ROAD 59,DeKalb IN,46721,C3,$1196270,$56542,$0,$28570,41.37045900,-84.90826900
